scorer,,,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed,Ahmed
bodyparts,,,apex,apex,base-L,base-L,base-R,base-R,LALV-interface,LALV-interface,LV-1/2,LV-1/2,LA-1/2,LA-1/2,RA-RVinterface,RA-RVinterface,RV-1/2,RV-1/2,RA-1/2,RA-1/2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,BalloonUltrasound,img000.png,218.39682228872184,90.92689652319858,126.10396934633371,336.89511847792164,298.84868403364703,348.3172450383798,163.27837335969255,249.82559793136184,159.70790402238512,165.26654385922268,145.60389585900643,298.18712688615074,277.47763993171515,251.8508907435675,272.26577995592856,175.4569255638522,292.5110201062549,308.19811410076613
labeled-data,BalloonUltrasound,img005.png,222.07138287681718,99.98713180190812,144.29351942916176,340.3098213561841,324.4677705587197,340.218959491251,181.44049268568148,250.5557550595732,165.17791737012806,159.94473987480112,161.98165736557166,294.19778085159425,277.3106373982143,246.12542046204615,263.2358141181992,162.86172870095456,308.1804350891609,293.1316298640676
labeled-data,BalloonUltrasound,img014.png,215.56765260446053,99.59190285033614,140.79907686576897,343.3362413656508,305.9834056567427,349.18614134692024,175.69673439158564,249.44539615120257,171.7072905449041,173.09862489018732,153.23173452091422,302.91584197084995,268.4386814249385,255.05254812777022,263.19017480289267,182.30120957925385,295.5982791625612,316.89817530276554
labeled-data,BalloonUltrasound,img020.png,216.76793572303868,96.38663178898993,134.80310888877716,342.2770240438921,275.13337025766685,354.15013006373954,161.6390311019293,284.4705885002375,162.00947647631477,187.08309452835277,147.54103847792376,311.87170019961303,258.01753988237965,283.70697265559465,260.04023998670925,192.05511388279265,280.6558431150744,319.2609369234034
labeled-data,BalloonUltrasound,img026.png,219.77211984624148,98.54925007610053,132.06092036915254,340.29422204006096,273.22451599598566,353.5419377426992,152.96591246643746,292.9179646936656,171.73655865361948,188.86559617183454,143.3903071036923,315.8518582404791,250.57052886408619,290.2091485008929,259.32153648628315,192.23909021166045,270.26764664752307,319.4879559642437
labeled-data,BalloonUltrasound,img030.png,219.5983801984936,99.15351993662361,154.43941777442112,347.56314688666095,288.82128277214485,351.86074770381674,163.1977450673549,278.2919308831565,176.7122362630407,179.8377702462782,159.19478391178217,313.36513732732044,261.11453287418726,278.2247950440516,257.7284361824109,182.34401005918664,278.9101002229452,319.7257014176961
labeled-data,BalloonUltrasound,img040.png,219.14669329470917,97.90952974927177,142.23622492089706,345.2549723511826,320.9890242241277,347.7929972848708,159.47751140190098,311.28890016561354,176.39827093339716,174.94290647089258,149.8274522704432,328.0262893476018,281.1235188379626,258.88573098135305,267.85350131778347,167.86262945227284,,
labeled-data,BalloonUltrasound,img045.png,220.08202078638777,101.13535522615513,152.676136406031,346.0246133420645,323.3910338686516,346.20287958361155,182.49765386213363,274.2194972052223,180.67667592224757,176.9637942962778,167.88121487644747,312.08156146460345,275.1951738331023,256.93319243748397,267.90307598224786,165.22425397052726,313.17890861013,305.8549533296918
